Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes)
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,375000.0,4.078125,3.0468800105154497E-9,375000.0,94.11653333333334,94.11653333333334,-371.8349016253211,0.0,?,?,?,375000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,377346.0,4.109375,3.0702277500596295E-9,377346.0,94.1337658276489,94.1337658276489,-370.3782405439876,0.0,?,?,?,377346.0,2888.0
Learner,stream,randomSeed,learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,5000.0,0.046875,3.502160931626956E-11,5000.0,94.04,94.04,-520.8333333333297,0.0,5000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,10000.0,0.125,9.339095817671881E-11,10000.0,95.54,95.54,-502.7027027027054,0.0,10000.0,2888.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,15000.0,0.1875,1.2922100722789763E-10,15000.0,94.97333333333333,94.97333333333333,-338.37209302325755,0.0,15000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,20000.0,0.234375,1.5609354401628176E-10,20000.0,91.44,91.44,-400.58479532163733,0.0,20000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,25000.0,0.3125,2.008811053302553E-10,25000.0,89.904,89.904,-437.0212765957438,0.0,25000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,30000.0,0.359375,2.277536421186394E-10,30000.0,91.04666666666667,91.04666666666667,-381.3620071684602,0.0,30000.0,2216.0
functions.SGD -o LOGLOSS,ArffFileStream -f D:\_coding\_wd\_python\uni\Behavioral-Context-Recognition\dataset\dataset_walking_gyro_allfeatures.arff,1,35000.0,0.421875,2.6358369116981824E-10,35000.0,92.10000000000001,92.10000000000001,-383.3916083916093,0.0,35000.0,2216.0
